Id,Speaker,TextKey,Image,Continue,NextID,Responses,BranchID,,,,,,,,,,,,,,,,,
0-21,Ruffle,When your poop meter gets low? You gotta eat. Garbage snacks fill it back up. Nature is BEAUTIFUL.,Peep_Happy,0-21,0-22,( . . . ),0-22,,,,,,,,,,,,,,,,,
0-22,Ruffle,Garbage cans are like mystery boxes! Use E OR X BUTTON to interact! You never know what you’ll get!,Peep_Happy,0-22,0-23,( . . . ),0-23,,,,,,,,,,,,,,,,,
0-23,Ruffle,"Maybe fries. Maybe bread. Maybe something that builds character. If it wiggles, maybe don’t.",Peep_Happy,0-23,0-24,BREAK,BREAK,,,,,,,,,,,,,,,,,
0-24,Arnesto,Hey there little man!! You ready to learn some sick moves?,Peep_Happy,0-24,0-25,( . . . ),0-25,,,,,,,,,,,,,,,,,
0-25,Arnesto,Relax your feathers. The sky’s chill. It only looks big. Okay yeah it’s massive. But you’ll be fine.,Peep_Happy,0-25,0-26,( . . . ),0-26,,,,,,,,,,,,,,,,,
0-26,Arnesto,"Alright, mannn. You know the basics but you want more! First thing? Lift off.",Peep_Happy,0-26,0-27,( . . . ),0-27,,,,,,,,,,,,,,,,,
0-27,Arnesto,Use WASD OR RIGHT STICK that Birdadette taught to control where you’re flying to. Don’t fight the wind — vibe with it.,Peep_Happy,0-27,0-28,( . . . ),0-28,,,,,,,,,,,,,,,,,
0-28,Arnesto,"Release you’re flight button, and just glide on down. Flying fast is easy. Flying cool? That’s skill.",Peep_Happy,0-28,0-29,( . . . ),0-29,,,,,,,,,,,,,,,,,
0-29,Arnesto,"Now bring it in. Wanna make a big landing? Hit that LEFT SHIFT. A softer approach? Just release the SPACE BAR, and glide on down.",Peep_Happy,0-29,0-30,( . . . ),0-30,,,,,,,,,,,,,,,,,
0-30,Arnesto,Last move. Perch. See that branch? It has a handy little symbol letting you know it’s a chill hang spot. Line up slow. Feet forward. Let it catch you.,Peep_Happy,0-30,0-31,( . . . ),0-31,,,,,,,,,,,,,,,,,
0-31,Arnesto,Now let's see you put it all together. Look for race posters like the one on this sign and test your wings! Show me what you got!,Peep_Happy,0-31,0-31,BREAK,BREAK,,,,,,,,,,,,,,,,,
1,Birdbooshka,hello young one! you look like you dont know anything about anything,Birdbooshka_Happy,1,2,You got that right... All my flo-|Heck Yes!|Nah I'm Good…,2|2|2,,,,,,,ID,Speaker,Dialogue,Image,BREAK/Continue,NextID,ResponseOptions,BranchID,,,
2,Peep,All my flo-,Peep_Happy,2,3,( . . . ),3,,,,,,,test,Test,…,Image,test,test2,Check1|Check2|Check3,test2|test3|test4,,,Birdbooshka_Happy
3,Birdbooshka,ANYWAYYY *Didn't ask your whole life story here*,Birdbooshka_Neutral,3,4,( . . . ),4,,,,,,,test2,Test,…,Image,test2,test3,Hello1|Hello2,test5|test,,,Birdbooshka_Mad
4,Birdbooshka,I have this old nest in the park up here if you want it? It's a fixer-upper but still....good.,Birdbooshka_Happy,4,5,Ummm sure?,5,,,,,,,,,,,,,,,,,Birdbooshka_Neutral
5,Peep,Alright,Peep_Happy,5,6,( . . . ),6,,,,,,,test3,Test,…,Image,test3,test4,TEXT1,test,,,Birdbooshka_Sad
6,Birdbooshka,GREAT! Follow me to your newww home!,Birdbooshka_Happy,6,7,Alright?,BREAK,,,,,,,test4,Test,…,Image,test4,test5,TEXT2,BREAK,,,Birdbooshka_Stressed
7,Peep,Are pigeon nest supposed to look that....bad?,Peep_Happy,7,8,( . . . ),8,,,,,,,test5,Test,…,Image,none,test,TEXT3,BREAK,,,Coowella_Happy
8,Birdbooshka,Back in my day we would sleep on spikes and be HAPPY. *scoff*...Okay maybe you could spruce it up with 3 more sticks to make it cozier.,Peep_Happy,8,9,( . . . ),9,,,,,,,,,,,,,,,,,Coowella_Mad
9,Birdbooshka,Try heading EAST to the most popular park in town. There's bounmd to be sticks there.,Peep_Happy,9,10,( . . . ),10,,,,,,,,,,,,,,,,,Coowella_Neutral
10,Birdbooshka,"Buuuuttttttttt..... you MIGHT want to sneak into the park using ""LEFT CTRL""...whatever that means...",Peep_Happy,10,11,( . . . ),BREAK,,,,,,,,,,,,,,,,,Coowella_Sad
11,Birdbooshka,HEY!!,Peep_Happy,11,12,( . . . ),12,,,,,,,,,,,,,,,,,Coowella_Stressed
12,Peep,I thought you were supposed to sneak?!,Peep_Happy,12,13,( . . . ),13,,,,,,,,,,,,,,,,,Flapjack_Happy
13,Birdbooshka,YOU have to sneak.... I can do whatever I want.,Peep_Happy,13,14,( . . . ),14,,,,,,,,,,,,,,,,,Flapjack_Mad
14,Birdbooshka,"Anyway, looks like that dog has a pretty good stick! You can pick up that ball using ""E"" and use it to distract that dog...",Peep_Happy,14,15,( . . . ),15,,,,,,,,,,,,,,,,,Flapjack_Neutral
15,Birdbooshka,Woah. I didn't think you'd live...,Peep_Happy,15,16,( . . . ),16,,,,,,,,,,,,,,,,,Flapjack_Sad
16,Birdbooshka,I mean....GREAT JOB KID!,Peep_Happy,16,17,( . . . ),17,,,,,,,,,,,,,,,,,Flapjack_Stressed
17,Birdbooshka,What are you waiting for?! Go build that nest!,Peep_Happy,17,18,( . . . ),18,,,,,,,,,,,,,,,,,Fowlfred_Happy
18,Birdbooshka,"Now you got a nice nest, better name it something nice as well",Peep_Happy,18,19,( . . . ),19,,,,,,,,,,,,,,,,,Fowlfred_Mad
19,Birdbooshka,"you know if you wanted to do a favor for this old bird, you could ruin that humans day for me. they're the ones who ruined this archetectural marvel of a nest ... you know before it was yours",Peep_Happy,19,20,( . . . ),20,,,,,,,,,,,,,,,,,Fowlfred_Neutral
20,Peep,I mean...sure,Peep_Happy,20,21,( . . . ),21,,,,,,,,,,,,,,,,,Fowlfred_Sad
21,Birdbooshka,"Also, I know youre new to this whole ""bird"" thing, but everybody knows us for pooping everywhere. But you need to fill up your tank first! Try eating some bread and see what happens, i know weirdos like to throw out perfectly good food so check out the garbage",Peep_Happy,21,22,( . . . ),22,,,,,,,,,,,,,,,,,Fowlfred_Stressed
22,Birdbooshka,"Since you're all fulled up now, go test you aim on that human over there. ya the one whose always chasing this delicate lady around",Peep_Happy,22,23,( . . . ),23,,,,,,,,,,,,,,,,,Peep_Happy
23,Birdbooshka,YOU NAILED THAT GUY GOOD!,Peep_Happy,23,24,( . . . ),24,,,,,,,,,,,,,,,,,Peep_Mad
24,Birdbooshka,Now I say this because I care.... But you look.... weak.,Peep_Happy,24,25,( . . . ),25,,,,,,,,,,,,,,,,,Peep_Neutral
25,Birdbooshka,I doubt you could fly on top of a building even if you tried...,Peep_Happy,25,26,( . . . ),26,,,,,,,,,,,,,,,,,Peep_Sad
26,Birdbooshka,"Since you're such a wimp, try using that manhole for a boost so you have a better chance of getting to the top of that building, a great place to hid from angry humans!",Peep_Happy,26,27,( . . . ),27,,,,,,,,,,,,,,,,,Peep_Stressed
27,Birdbooshka,"ah that brings this old soul some joy, now there are probably other destoryed or abandoned nests all over this city (housing crisis my feathers) I'm sure no one would bat a wing at you fixing them up",Peep_Happy,27,28,( . . . ),28,,,,,,,,,,,,,,,,,Wingo_Happy
28,Birdbooshka,"OH! Before I go, I think I saw somebirdy that looked JUST like you... Only more handsome...",Peep_Happy,28,29,( . . . ),29,,,,,,,,,,,,,,,,,Wingo_Mad
29,Birdbooshka,"They were NORTH of here. If you find them, tell them Birdbooshka wants to peck together sometime",Peep_Happy,29,30,( . . . ),30,,,,,,,,,,,,,,,,,Wingo_Neutral
30,Peep,Ew,Peep_Happy,30,31,( . . . ),31,,,,,,,,,,,,,,,,,Wingo_Sad
31,Wingo Starr,HEY!! HEY COO!!,Peep_Happy,31,32,( . . . ),32,,,,,,,,,,,,,,,,,Wingo_Stressed
32,Peep,Do I know you?,Peep_Happy,32,33,( . . . ),33,,,,,,,,,,,,,,,,,Wingston_Happy
33,Wingo Starr,Nope.,Peep_Happy,33,34,( . . . ),34,,,,,,,,,,,,,,,,,Wingston_Mad
34,Wingo Starr,BUT has anybirdy told you that you look JUST like the new neighbours that got blown in recently?!,Peep_Happy,34,35,( . . . ),35,,,,,,,,,,,,,,,,,Wingston_Neutral
35,Peep,Actually yes! Can you tell me more about them!?,Peep_Happy,35,36,( . . . ),36,,,,,,,,,,,,,,,,,Wingston_Sad
36,Wingo Starr,...for free?,Peep_Happy,36,37,( . . . ),37,,,,,,,,,,,,,,,,,Wingston_Stressed
37,Peep,...yes?,Peep_Happy,37,38,( . . . ),38,,,,,,,,,,,,,,,,,
38,Wingo Starr,"Nah, but if you get me this bread from a famous cafe EAST of here I'd tell you?",Peep_Happy,38,39,( . . . ),39,,,,,,,,,,,,,,,,,
39,Peep,Can't you do it yourself?,Peep_Happy,39,40,( . . . ),40,,,,,,,,,,,,,,,,,
40,Wingo Starr,... I get by with a little help from my friends?,Peep_Happy,40,41,( . . . ),41,,,,,,,,,,,,,,,,,
41,Peep,...fine.,Peep_Happy,41,42,( . . . ),42,,,,,,,,,,,,,,,,,
42,Peep,Well... Here's your fancy bread,Peep_Happy,42,43,( . . . ),43,,,,,,,,,,,,,,,,,
43,Wingo Starr,Egg-celent! Thanks a ton stranger!,Peep_Happy,43,44,( . . . ),44,,,,,,,,,,,,,,,,,
44,Peep,Can I know about those neighbours now?,Peep_Happy,44,45,( . . . ),45,,,,,,,,,,,,,,,,,
45,Wingo Starr,I mean...I didn't actually TALK to them. BUT I did see one hit a roof pretty hard when he missed the first building!,Peep_Happy,45,46,( . . . ),46,,,,,,,,,,,,,,,,,
46,Wingo Starr,He landed on this tall orange building SOUTHEAST of here. I think it was between 2 blue buildings?,Peep_Happy,46,47,( . . . ),47,,,,,,,,,,,,,,,,,
47,Wingo Starr,"Anyway, leave me alone now. I'm about to taste heaven!",Peep_Happy,47,48,( . . . ),48,,,,,,,,,,,,,,,,,
48,Arnesto,OH HEY! I know you!,Peep_Happy,48,49,( . . . ),49,,,,,,,,,,,,,,,,,
49,Arnesto,You totally grew up little dude!,Peep_Happy,49,50,( . . . ),50,,,,,,,,,,,,,,,,,
50,Arnesto,Hey now that we're back together can you do me a solid?,Peep_Happy,50,51,( . . . ),51,,,,,,,,,,,,,,,,,
51,Arnesto,I hurt my wing pretty bad trying to do a backflip onto this roof and I can't find the others... Can I crash at your nest while you go find them?,Peep_Happy,51,52,( . . . ),52,,,,,,,,,,,,,,,,,
52,Peep,"...a backflip...? I mean , yeah, sure.",Peep_Happy,52,53,( . . . ),53,,,,,,,,,,,,,,,,,
53,Arnesto,AYEEE! Thanks little dude I owe you one! I think I heard something about somebirdy somewhere south of here? It might be worth a look?,Peep_Happy,53,54,( . . . ),54,,,,,,,,,,,,,,,,,
54,Peep,Very helpful...okay.,Peep_Happy,54,55,( . . . ),55,,,,,,,,,,,,,,,,,
55,Fowlfred Finchcock,"I SAY, My good fellow!",Peep_Happy,55,56,( . . . ),56,,,,,,,,,,,,,,,,,
56,Fowlfred Finchcock,"You look young and sprightly, tough enough to scare a dog or two...or SIX!",Peep_Happy,56,57,( . . . ),57,,,,,,,,,,,,,,,,,
57,Fowlfred Finchcock,Mind helping an old chap like myself with a dilemma?,Peep_Happy,57,58,( . . . ),58,,,,,,,,,,,,,,,,,
58,Peep,Uhhh. I'm a bit busy-,Peep_Happy,58,59,( . . . ),59,,,,,,,,,,,,,,,,,
59,Fowlfred Finchcock,EXCELLENT my dear bird! Thank you so much for agreeing!,Peep_Happy,59,60,( . . . ),60,,,,,,,,,,,,,,,,,
60,Fowlfred Finchcock,"You see, A pack of mongrels have teken a liking to my favorite alleyway. They have the finest bread here you see...",Peep_Happy,60,61,( . . . ),61,,,,,,,,,,,,,,,,,
61,Fowlfred Finchcock,Not too moldy... but just enough to add some flavor!,Peep_Happy,61,62,( . . . ),62,,,,,,,,,,,,,,,,,
62,Fowlfred Finchcock,"Anywho, those brutes have kept me out even though I put up quite the fight you see, and I can't enjoy my favorite snack anymore.",Peep_Happy,62,63,( . . . ),63,,,,,,,,,,,,,,,,,
63,Fowlfred Finchcock,Give them a good poo in the eye! THAT oughta teach them a lesson!,Peep_Happy,63,64,( . . . ),64,,,,,,,,,,,,,,,,,
64,Fowlfred Finchcock,"Oh, I think a young bird got stuck in there too. You look quite like her! Yes! Yes Indeed!",Peep_Happy,64,65,( . . . ),65,,,,,,,,,,,,,,,,,
65,Fowlfred Finchcock,..but more importantly - PLEASE HELP ME GET MY SNACKS BACK!!!,Peep_Happy,65,66,( . . . ),66,,,,,,,,,,,,,,,,,
66,Peep,Wait did you say-,Peep_Happy,66,67,( . . . ),67,,,,,,,,,,,,,,,,,
67,Fowlfred Finchcock,Tally Ho dear friend! - Yes. Off you go!,Peep_Happy,67,68,( . . . ),68,,,,,,,,,,,,,,,,,
68,Birdadette,You found me!! I was SOO scared! I thought Arnesto would come but I'm soo glad to see you!,Peep_Happy,68,69,( . . . ),69,,,,,,,,,,,,,,,,,
69,Fowlfred Finchcock,YAHOO! Well done! Now I can eat to my hearts desire! You have made me one happy bird!,Peep_Happy,69,70,( . . . ),70,,,,,,,,,,,,,,,,,
70,Birdadette,Do you know this guy?,Peep_Happy,70,71,( . . . ),71,,,,,,,,,,,,,,,,,
71,Birdadette,"He ran away when the dogs came yelling "" EAT HER! EAT HER!""",Peep_Happy,71,72,( . . . ),72,,,,,,,,,,,,,,,,,
72,Fowlfred Finchcock,Pish posh - Now off you go! Out of my alleyway!,Peep_Happy,72,73,( . . . ),73,,,,,,,,,,,,,,,,,
73,Birdadette,I'm gone... Do you have a nest around here?,Peep_Happy,73,74,( . . . ),74,,,,,,,,,,,,,,,,,
74,Birdadette,I'm going to go rest my wings after such an awful day!,Peep_Happy,74,75,( . . . ),75,,,,,,,,,,,,,,,,,
75,Birdadette,"Oh! Before I go, I met the strangest Fancy Crow. He might be able to help you find the others!",Peep_Happy,75,76,( . . . ),76,,,,,,,,,,,,,,,,,
76,Birdadette,He usually hangs out in alleyways but be careful you don't go in the one with the cat hiding there...,Peep_Happy,76,77,( . . . ),77,,,,,,,,,,,,,,,,,
77,Peep,Fancy Crow...?,Peep_Happy,77,78,( . . . ),78,,,,,,,,,,,,,,,,,
78,Peep,Are you mister fancy crow?,Peep_Happy,78,79,( . . . ),79,,,,,,,,,,,,,,,,,
79,Edgar Allen Crow,What is it that we consider fancy? that of great craftsmenship or that which others have deamed to be so simply for being expensive?,Peep_Happy,79,80,( . . . ),80,,,,,,,,,,,,,,,,,
80,Peep,........,Peep_Happy,80,81,( . . . ),81,,,,,,,,,,,,,,,,,
81,Edgar Allen Crow,"..... ah yes I suppose I am a crow who sports a fantastical attire, how might I assist you?",Peep_Happy,81,82,( . . . ),82,,,,,,,,,,,,,,,,,
82,Peep,i was told you might have information that can help me,Peep_Happy,82,83,( . . . ),83,,,,,,,,,,,,,,,,,
83,Edgar Allen Crow,"within this crainum lies many avenues of knowledge, but the door to that remians tightly fassoned until you can prove your worth! fetch me a rose, dear heart, one of the deepest red and most delicate petels. i have heard rumor that ones lays upon the roof yonder",Peep_Happy,83,84,( . . . ),84,,,,,,,,,,,,,,,,,
84,Edgar Allen Crow,"a fine sight this is, and with it a trusted companion now comes, welcome to my shop of wonders and mysteries",Peep_Happy,84,85,( . . . ),85,,,,,,,,,,,,,,,,,
85,Edgar Allen Crow,"Once upon a midnight drea-... Ah, but you are not dreary! Nor is it midnight?",Peep_Happy,85,86,( . . . ),86,,,,,,,,,,,,,,,,,
86,Edgar Allen Crow,"What bring you to my humble roost, traveler?",Peep_Happy,86,87,( . . . ),87,,,,,,,,,,,,,,,,,
87,Edgar Allen Crow,"Behold these trinkets - each a relic of fortunes lost. Of whispers past! Choose wisely, for all that glitters is not gold... and some are cursed!",Peep_Happy,87,88,( . . . ),88,,,,,,,,,,,,,,,,,
88,Edgar Allen Crow,"To trade, to barter, to deal in fate - what an exquisite folly. And yet, 'tis folly tgat keeps my feathers fluffed and my roost adorned",Peep_Happy,88,89,( . . . ),89,,,,,,,,,,,,,,,,,
89,Edgar Allen Crow,"Trinkets, baubles, relics of yore... each with a tale, a mystery, a fate entwined. Do they call to you as they once did me?",Peep_Happy,89,90,( . . . ),90,,,,,,,,,,,,,,,,,
90,Edgar Allen Crow,"A fair trade, is it not? Trinkets for treasures, whispers for wonders. But beware, for nevermore shall it be yours to return",Peep_Happy,90,91,( . . . ),91,,,,,,,,,,,,,,,,,
91,Edgar Allen Crow,"You seek. Yet fortune flees. Prophet! says I, thing of evil! - Prophet still, if bird or devil! Return when your pockets jingle with fates favor",Peep_Happy,91,92,( . . . ),92,,,,,,,,,,,,,,,,,
92,Edgar Allen Crow,"Be that word our sign of parting, bird or beast! - Take thy treasures and leave my roost. Yet, should fate beckon, return again...",Peep_Happy,92,93,( . . . ),93,,,,,,,,,,,,,,,,,
93,Edgar Allen Crow,"Shadows stretch long in the dying light, whispering of past patrons, of trades struck, of fortunes lost...and won",Peep_Happy,93,94,( . . . ),94,,,,,,,,,,,,,,,,,
94,Edgar Allen Crow,"Tis some pigeon tapping at my chamber door - only this, and nothing more",Peep_Happy,94,95,( . . . ),95,,,,,,,,,,,,,,,,,
95,Edgar Allen Crow,"A traveller of the sky, burdened with purpose. Tell me, do winds whisper secrets to thee as they do to me?",Peep_Happy,95,96,( . . . ),96,,,,,,,,,,,,,,,,,
96,Edgar Allen Crow,"On this desolate perch I linger, watching, waiting. The world turns, yet here I remain - steadfast, solemn...evermore",Peep_Happy,96,97,( . . . ),97,,,,,,,,,,,,,,,,,
97,Edgar Allen Crow,"Since you were so looooooovely, let me give you some information. On the house...",Peep_Happy,97,98,( . . . ),98,,,,,,,,,,,,,,,,,
98,Peep,Information?,Peep_Happy,98,99,( . . . ),99,,,,,,,,,,,,,,,,,
99,Edgar Allen Crow,No questions allowed. I invited a paw-sitively wonderful friend who might know what you are looking for...,Peep_Happy,99,100,( . . . ),100,,,,,,,,,,,,,,,,,
100,Peep,Who...?,Peep_Happy,100,101,( . . . ),101,,,,,,,,,,,,,,,,,
101,Edgar Allen Crow,NO QUESTIONS! His name is Sir. Meowsalot who would know exactly where to look for whoooo you are missing. Look for the alleycat with a BRIGHT PINK nose,Peep_Happy,101,102,( . . . ),102,,,,,,,,,,,,,,,,,
102,Peep,are you by chance sir.mewsalot? edgar said you might have some information for me,Peep_Happy,102,103,( . . . ),103,,,,,,,,,,,,,,,,,
103,Sir.Meowsalot,oh are you looking for that odd fellow whose out and about at night?,Peep_Happy,103,104,( . . . ),104,,,,,,,,,,,,,,,,,
104,Peep,oh ya Coobert was always extra afraid of the dark,Peep_Happy,104,105,( . . . ),105,,,,,,,,,,,,,,,,,
105,Sir.Meowsalot,"Coobert! What a fine and noble name, they seem to be in possession of a glowing jar to light their path ... perhaps follow the trail of escaped glowing lights to find them",Peep_Happy,105,106,( . . . ),106,,,,,,,,,,,,,,,,,
106,Coobert,AHHHHHHHHHHHHHHHHHH!!!!! omg it's you!!! you scared the feathers off me!!!,Peep_Happy,106,107,( . . . ),107,,,,,,,,,,,,,,,,,
107,Peep,sorry sorry!,Peep_Happy,107,108,( . . . ),108,,,,,,,,,,,,,,,,,
108,Coobert,it's good to see you but we can't stay out here! it's much to dark!!,Peep_Happy,108,109,( . . . ),109,,,,,,,,,,,,,,,,,
109,Peep,let's head to my nest! it's nicely lit and comfortabe,Peep_Happy,109,110,( . . . ),110,,,,,,,,,,,,,,,,,
110,Wingston,"Oh no, oh no, oh no! This is a full-blown feather-mergency!",Peep_Happy,110,111,( . . . ),111,,,,,,,,,,,,,,,,,
111,Coowella,"They just wanted a better view of the area! Then, whoosh, a gust took him all the way up!",Peep_Happy,111,112,( . . . ),112,,,,,,,,,,,,,,,,,
112,Peep,What is going on?,Peep_Happy,112,113,( . . . ),113,,,,,,,,,,,,,,,,,
113,Flapjack,A fellow pigeon is stuck on the roof! And he was only just blown in from that horrible storm!,Peep_Happy,113,114,( . . . ),114,,,,,,,,,,,,,,,,,
114,Coowella,No wonder they're scared to fly down!,Peep_Happy,114,115,( . . . ),115,,,,,,,,,,,,,,,,,
115,Wingston,Plus I heard that there'creatures that hunt pigeons in the area! No one bird should try and dodge those villans,Peep_Happy,115,116,( . . . ),116,,,,,,,,,,,,,,,,,
116,Peep,I can't just leave them up there alone!,Peep_Happy,116,117,( . . . ),117,,,,,,,,,,,,,,,,,
117,Wingston,It would take a brave bird to manage those skys! Make sure you load up on snacks before taking flight,Peep_Happy,117,118,( . . . ),118,,,,,,,,,,,,,,,,,
118,Pigeon,Ruffle! Are you there?,Peep_Happy,118,119,( . . . ),119,,,,,,,,,,,,,,,,,
119,Ruffle,oh my!!! are you trapped up here as well????,Peep_Happy,119,120,( . . . ),120,,,,,,,,,,,,,,,,,
120,Peep,no no I'm hear to get you down! but we need to be carful to avoid the hawk,Peep_Happy,120,121,( . . . ),121,,,,,,,,,,,,,,,,,
121,Ruffle,i wasn't sure if i was gonna make it out of that one! thanks for the slick save,Peep_Happy,121,122,( . . . ),122,,,,,,,,,,,,,,,,,
122,Peep,i'm glad i swooped in in time!,Peep_Happy,122,123,( . . . ),123,,,,,,,,,,,,,,,,,
123,Ruffle,man i really need a good nap .. in a covered area this time!!,Peep_Happy,123,124,( . . . ),124,,,,,,,,,,,,,,,,,
124,Peep,you should head over to my nest! you can rest up with some other flock memebers I've found,Peep_Happy,124,125,( . . . ),125,,,,,,,,,,,,,,,,,
125,Birdadette,OMG YOU DID IT!!! YOU FOUND EVERYONE!!,Peep_Happy,125,126,( . . . ),126,,,,,,,,,,,,,,,,,
126,ArNESTo,Never a doubt in my mind short stuff!,Peep_Happy,126,127,( . . . ),127,,,,,,,,,,,,,,,,,
127,Ruffle,The bravest out of all the birds!,Peep_Happy,127,128,( . . . ),128,,,,,,,,,,,,,,,,,
128,Coobert,Thank goodness we can all brave the dark together again!,Peep_Happy,128,129,( . . . ),129,,,,,,,,,,,,,,,,,
129,Birdadette,"Ya but like, what are you going to do now?",Peep_Happy,129,130,( . . . ),130,,,,,,,,,,,,,,,,,
130,Ruffle,You wanna stay in this dope new city or should we all fly off on a new adventure?,Peep_Happy,130,131,( . . . ),131,,,,,,,,,,,,,,,,,
131,Peep,I wanna stay,Peep_Happy,131,132,( . . . ),132,,,,,,,,,,,,,,,,,
132,Peep,I wanna go,Peep_Happy,132,132,( . . . ),,,,,,,,,,,,,,,,,,
